30720,22081,2,AWD
31443,28701,3,AWD
29292,21029,3,AWD
27233,30959,4,RWD
26237,38488,3,RWD
31131,26873,3,AWD
28672,40664,3,RWD
31567,32542,2,AWD
36824,25363,0,AWD
29384,29735,3,RWD
27075,23203,3,RWD
30250,20034,2,AWD
37144,7455,3,AWD
29378,28704,0,AWD
24630,30565,3,RWD
30209,26961,3,RWD
34909,24051,1,AWD
32689,23315,3,AWD
27076,25452,2,RWD
27293,49265,3,RWD
32282,23127,3,AWD
30826,12473,3,AWD
28313,37504,2,RWD
28010,42432,2,RWD
28928,59411,3,RWD
25341,57296,3,RWD
26329,11865,3,RWD
29960,44981,2,RWD
34855,12476,2,AWD
35601,17924,1,AWD
30580,24784,3,AWD
35458,8555,1,AWD
35385,36980,3,AWD
35346,12340,2,AWD
32455,7669,2,AWD
27172,27053,3,RWD
24168,45160,3,RWD
26504,33969,3,RWD
36113,12960,3,AWD
24070,46384,4,RWD
29316,26234,3,RWD
29274,17072,3,AWD
28001,35957,3,RWD
34919,26465,2,AWD
31871,30075,2,AWD
37720,5410,0,AWD
34263,39461,0,AWD
34059,15984,3,AWD
29680,19482,2,AWD
22377,61552,3,RWD
30070,39456,3,RWD
34441,4257,3,AWD
31135,19655,3,AWD
36672,22331,3,AWD
24263,39853,3,RWD
26628,43968,4,RWD
29071,37539,4,RWD
26722,18468,3,RWD
27307,26130,4,RWD
38048,22651,2,AWD
32256,34885,3,RWD
32003,22013,3,AWD
23028,36851,2,RWD
23718,48769,3,RWD
28667,14394,3,AWD
25834,17690,3,RWD
24447,36974,3,RWD
23205,31766,3,RWD
33918,26413,3,AWD
29299,15977,2,AWD
30140,30805,3,RWD
29495,35508,3,RWD
32969,26056,3,AWD
35958,18167,3,AWD
26560,29994,3,RWD
34229,8025,3,AWD
32045,25070,3,AWD
30631,33922,2,AWD
31679,32458,3,RWD
34829,20293,3,AWD
28804,21255,3,RWD
26220,26856,3,RWD
31636,28614,0,AWD
26526,17598,3,RWD
30772,41389,2,RWD
37761,5069,2,AWD
34463,7608,3,AWD
32779,22711,2,AWD
36394,20635,2,AWD
37630,7114,1,AWD
34297,8367,3,AWD
35514,9064,3,AWD
27992,36527,2,RWD
34241,15548,3,AWD
23304,42947,3,RWD
24463,17086,2,RWD
36819,32333,3,AWD
25044,36196,3,RWD
36019,44504,3,AWD
24044,54541,3,RWD
23138,59957,3,RWD
26804,47151,4,RWD
31331,18857,3,AWD
28076,42791,3,RWD
27581,23632,3,RWD
26904,37272,2,RWD
32032,21836,2,AWD
36456,8372,2,AWD
26374,33032,2,RWD
24585,35886,3,RWD
24192,30573,2,RWD
35693,16170,1,AWD
28797,42669,3,RWD
36473,15902,3,AWD
34123,19352,3,AWD
30068,25093,3,RWD
36379,23414,2,AWD
26401,38914,3,RWD
37757,17745,2,AWD
22092,66188,3,RWD
26798,20042,4,RWD
28605,33194,3,RWD
25808,42934,4,RWD
29590,32837,4,RWD
24766,26232,3,RWD
32015,20370,3,AWD
22473,51529,3,RWD
22390,65743,4,RWD
34039,16707,3,AWD
36084,17238,3,AWD
27697,39507,4,RWD
37887,4517,3,AWD
27499,39733,3,RWD
22442,51172,3,RWD
35092,16667,2,AWD
34663,11577,3,AWD
29211,43087,3,RWD
32301,23166,3,AWD
23159,44856,4,RWD
30059,28358,3,RWD
27508,22250,3,RWD
36905,11422,3,AWD
28425,46007,2,RWD
29408,40379,3,RWD
36279,15560,3,AWD
34986,25846,2,AWD
33429,40095,3,RWD
22705,34316,4,RWD
35223,29972,3,AWD
29831,33260,2,AWD
33205,31378,2,AWD
27239,44265,3,RWD
35376,13687,3,AWD
23269,36407,3,RWD
33527,21319,3,AWD
30756,18628,3,AWD
33436,27858,3,AWD
25594,43563,3,RWD
